# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 5.46508e-29
100 0.547739
200 0.931809
300 1.25827
400 1.51042
500 1.47743
600 1.65257
700 1.79455
800 1.88631
900 2.45557
1000 2.32943
1100 2.61771
1200 2.87611
1300 3.06191
1400 3.43939
1500 3.09656
1600 3.68874
1700 3.75703
1800 4.06794
1900 4.36759
2000 4.40085
2100 4.32055
2200 4.52085
2300 4.62391
2400 4.76608
2500 4.8748
2600 4.58039
2700 4.71935
2800 4.67853
2900 4.61346
3000 4.69275
3100 4.65405
3200 4.57333
3300 4.86602
3400 5.11894
3500 5.3844
3600 5.38546
3700 5.72473
3800 5.8772
3900 6.06317
4000 6.25091
4100 6.31278
4200 6.62657
4300 6.74526
4400 6.98409
4500 7.14981
4600 7.11952
4700 6.9264
4800 7.06222
4900 7.41592
5000 7.86779
5100 7.95719
5200 8.08969
5300 7.79992
5400 7.92067
5500 7.85159
5600 8.16141
5700 8.46004
5800 9.0211
5900 9.1909
6000 9.79695
6100 9.5775
6200 9.83144
6300 9.73752
6400 9.78329
6500 10.2744
6600 10.347
6700 9.99102
6800 10.3815
6900 10.4167
7000 10.5655
7100 10.7151
7200 10.7834
7300 11.2425
7400 10.9066
7500 11.4285
7600 11.8203
7700 12.2554
7800 12.6894
7900 13.178
8000 13.0036
8100 13.014
8200 13.1982
8300 13.2525
8400 13.632
8500 13.2041
8600 13.3462
8700 13.3412
8800 13.4707
8900 13.4597
9000 14.1799
9100 14.1431
9200 14.4525
9300 14.8639
9400 15.081
9500 15.2095
9600 15.0371
9700 15.5768
9800 15.9281
9900 16.5918
10000 16.4897
10100 17.2988
10200 17.5836
10300 18.1697
10400 17.8214
10500 18.0555
10600 18.4275
10700 18.0204
10800 17.9999
10900 18.1781
11000 18.3477
11100 19.078
11200 19.2599
11300 18.8049
11400 19.0393
11500 19.419
11600 19.5433
11700 19.0135
11800 19.8232
11900 19.7744
12000 19.9339
12100 20.5091
12200 21.1286
12300 21.39
12400 21.5107
12500 21.3037
12600 21.2527
12700 21.5248
12800 21.6457
