# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
39900 84.2735
40000 83.7767
40100 83.7281
40200 83.6042
40300 83.6329
40400 83.7593
40500 83.2657
40600 83.1931
40700 84.6141
40800 84.2275
40900 83.5979
41000 83.9035
41100 85.1032
41200 84.6328
41300 85.9761
41400 85.6815
41500 86.9578
41600 87.1894
41700 87.3093
41800 87.9716
41900 89.5279
42000 87.6085
42100 88.1872
42200 88.4773
42300 87.9803
42400 89.2014
42500 88.4198
42600 89.363
42700 88.9869
42800 88.7713
42900 90.2251
43000 89.7424
43100 90.5805
43200 89.4979
43300 89.5816
43400 88.2122
43500 88.6555
43600 88.2046
43700 89.1943
43800 88.6341
43900 89.0975
44000 89.629
44100 89.9277
44200 90.6324
44300 90.2737
44400 90.6884
44500 88.7942
44600 90.7952
44700 90.9097
44800 91.8258
44900 92.6118
45000 91.3593
45100 91.6126
45200 91.8808
45300 92.2118
45400 92.4795
45500 91.7991
45600 92.6805
45700 91.9931
45800 91.3305
45900 91.859
46000 92.3813
46100 92.8096
46200 93.1594
46300 93.541
46400 93.965
46500 94.0972
46600 93.6045
46700 93.2308
46800 94.2494
46900 93.6391
47000 94.1797
47100 95.1373
47200 95.0384
47300 95.5559
47400 96.5001
47500 96.1074
47600 96.2833
47700 96.606
47800 97.2453
47900 97.1381
48000 97.6232
48100 98.4468
48200 99.2477
48300 99.1235
48400 99.4146
48500 100.286
48600 101.319
48700 100.96
48800 101.86
48900 103.415
49000 102.569
49100 103.248
49200 101.026
49300 101.265
49400 102.204
49500 103.014
49600 101.962
49700 102.101
49800 101.757
49900 101.233
50000 101.88
