# Time-averaged data for fix energy
# TimeStep v_k v_e v_t v_T
30100 153.711 -6242.75 -6089.04 714.639
30150 154.18 -6239.56 -6085.38 716.82
30200 154.907 -6244.03 -6089.13 720.201
30250 151.371 -6240.12 -6088.75 703.76
30300 154.585 -6243.41 -6088.82 718.702
30350 155.634 -6242.73 -6087.09 723.579
30400 153.476 -6243.77 -6090.3 713.548
30450 156.494 -6246.76 -6090.27 727.577
30500 152.94 -6245.04 -6092.1 711.054
30550 152.598 -6244.39 -6091.79 709.467
30600 152.025 -6244.16 -6092.13 706.799
30650 154.653 -6244.68 -6090.03 719.019
30700 152.918 -6242.71 -6089.79 710.952
30750 152.697 -6242.21 -6089.52 709.925
30800 151.117 -6242.73 -6091.62 702.58
30850 152.439 -6244.57 -6092.14 708.727
30900 154.807 -6245.4 -6090.6 719.737
30950 151.854 -6244.7 -6092.85 706.007
31000 152.651 -6247.75 -6095.09 709.711
31050 152.165 -6245.97 -6093.8 707.453
31100 151.911 -6247.2 -6095.29 706.272
31150 153.336 -6246.47 -6093.13 712.895
31200 155.484 -6246.26 -6090.77 722.882
31250 154.964 -6245.19 -6090.23 720.465
31300 154.487 -6241.78 -6087.3 718.249
31350 155.022 -6242.79 -6087.77 720.737
31400 155.575 -6241.73 -6086.16 723.303
31450 152.526 -6238.53 -6086.01 709.132
31500 152.673 -6239.28 -6086.6 709.814
31550 155.734 -6244.96 -6089.23 724.044
31600 154.243 -6239.65 -6085.41 717.114
31650 153.806 -6243.44 -6089.64 715.081
31700 154.075 -6244.51 -6090.44 716.334
31750 152.995 -6244.37 -6091.37 711.31
31800 154.506 -6245.69 -6091.18 718.337
31850 155.083 -6246.4 -6091.31 721.019
31900 153.356 -6244.44 -6091.09 712.988
31950 152.767 -6244.34 -6091.58 710.25
32000 153.526 -6244.85 -6091.33 713.78
32050 152.018 -6243.24 -6091.22 706.769
32100 153.604 -6243.86 -6090.26 714.142
32150 152.822 -6241.88 -6089.06 710.505
32200 151.725 -6242.77 -6091.05 705.406
32250 152.939 -6242.32 -6089.38 711.052
32300 154.056 -6241.68 -6087.63 716.245
32350 153.848 -6241.08 -6087.23 715.275
32400 155.429 -6245.91 -6090.48 722.625
32450 153.839 -6244.29 -6090.46 715.232
32500 153.882 -6246.94 -6093.06 715.434
32550 151.729 -6241.17 -6089.44 705.422
32600 153.765 -6245.33 -6091.56 714.892
32650 155.138 -6245.99 -6090.85 721.274
32700 152.646 -6245.99 -6093.34 709.688
32750 150.326 -6240.36 -6090.04 698.899
32800 151.369 -6248.39 -6097.03 703.749
32850 151.449 -6244.51 -6093.06 704.121
32900 152.296 -6247.4 -6095.1 708.061
32950 149.847 -6243.14 -6093.3 696.677
33000 153.12 -6246.1 -6092.98 711.89
33050 153.486 -6245.12 -6091.64 713.595
33100 150.682 -6242.37 -6091.69 700.555
33150 154.782 -6247.59 -6092.81 719.619
33200 153.451 -6244.58 -6091.13 713.431
33250 154.763 -6247.48 -6092.72 719.529
33300 153.585 -6242.64 -6089.05 714.054
33350 154.033 -6243.88 -6089.84 716.138
33400 153.534 -6242.44 -6088.91 713.816
33450 155.072 -6244.13 -6089.06 720.966
33500 154.211 -6243.9 -6089.69 716.964
33550 151.241 -6240.86 -6089.62 703.157
33600 155.43 -6245.99 -6090.56 722.631
33650 152.942 -6240.25 -6087.31 711.062
33700 153.74 -6241.61 -6087.87 714.775
33750 156.276 -6245.31 -6089.04 726.563
33800 154.777 -6242.4 -6087.62 719.595
33850 152.689 -6244.9 -6092.21 709.889
33900 153.031 -6242.75 -6089.72 711.476
33950 153.839 -6244.29 -6090.45 715.235
34000 155.256 -6246.68 -6091.42 721.823
34050 153.108 -6243.62 -6090.52 711.834
34100 151.769 -6242.63 -6090.86 705.61
34150 154.091 -6245.66 -6091.57 716.404
34200 151.986 -6239.45 -6087.46 706.621
34250 154.613 -6244.18 -6089.57 718.834
34300 153.437 -6240.67 -6087.23 713.363
34350 155.437 -6244.03 -6088.59 722.666
34400 156.276 -6242.85 -6086.58 726.565
34450 157.225 -6242.59 -6085.36 730.975
34500 155.048 -6239.8 -6084.75 720.857
34550 156.88 -6243.33 -6086.45 729.372
34600 157.153 -6241.66 -6084.5 730.644
34650 156.955 -6241.08 -6084.12 729.72
34700 157.124 -6240.73 -6083.61 730.506
34750 155.184 -6238.96 -6083.78 721.489
34800 156.164 -6239.8 -6083.63 726.044
34850 155.961 -6237.96 -6082 725.099
34900 155.95 -6239.96 -6084.01 725.047
34950 156.411 -6238.39 -6081.98 727.192
35000 156.409 -6242.34 -6085.93 727.181
35050 155.604 -6239.38 -6083.78 723.442
35100 155.869 -6242.68 -6086.81 724.675
35150 155.39 -6241.75 -6086.36 722.446
35200 155.661 -6243.92 -6088.26 723.704
35250 154.729 -6244.3 -6089.57 719.374
35300 156.723 -6243.93 -6087.2 728.642
35350 156.604 -6243.01 -6086.4 728.09
35400 156.806 -6240.33 -6083.53 729.027
35450 156.696 -6243.14 -6086.44 728.52
35500 154.677 -6235.95 -6081.28 719.132
35550 155.817 -6237.32 -6081.5 724.431
35600 154.872 -6240.01 -6085.14 720.038
35650 155.056 -6239.76 -6084.71 720.894
35700 157.075 -6241.97 -6084.89 730.278
35750 154.856 -6238.76 -6083.9 719.963
35800 156.125 -6241.38 -6085.26 725.861
35850 158.16 -6243.97 -6085.81 735.326
35900 155.44 -6242.02 -6086.58 722.676
35950 155.034 -6243.1 -6088.06 720.793
36000 157.46 -6244.82 -6087.36 732.068
36050 154.464 -6239.93 -6085.46 718.14
36100 154.855 -6245.43 -6090.57 719.957
36150 153.155 -6242.53 -6089.38 712.052
36200 152.848 -6243.15 -6090.3 710.627
36250 153.137 -6241.4 -6088.26 711.97
36300 153.219 -6242.7 -6089.48 712.351
36350 154.012 -6243.78 -6089.77 716.037
36400 152.09 -6241.69 -6089.6 707.104
36450 155.882 -6246.78 -6090.89 724.733
36500 154.143 -6244.2 -6090.06 716.65
36550 153.539 -6246.36 -6092.82 713.84
36600 151.622 -6245.15 -6093.53 704.926
36650 154.594 -6248.27 -6093.68 718.744
36700 153.143 -6244.69 -6091.55 712
36750 153.068 -6246.96 -6093.9 711.648
36800 152.583 -6245.26 -6092.67 709.393
36850 150.44 -6243.96 -6093.52 699.433
36900 152.381 -6244.87 -6092.49 708.458
36950 151.805 -6241.82 -6090.02 705.776
37000 153.32 -6247.24 -6093.92 712.822
37050 147.479 -6239.84 -6092.36 685.664
37100 151.48 -6247.99 -6096.51 704.269
37150 152.194 -6246.23 -6094.04 707.587
37200 149.508 -6247.03 -6097.53 695.097
37250 150.227 -6247.2 -6096.98 698.439
37300 151.035 -6249.71 -6098.67 702.2
37350 150.521 -6247.04 -6096.52 699.807
37400 152.772 -6248.27 -6095.5 710.273
37450 151.507 -6246.81 -6095.3 704.391
37500 150.972 -6246.56 -6095.59 701.905
37550 151.029 -6245.91 -6094.88 702.172
37600 150.48 -6244.62 -6094.14 699.618
37650 152.211 -6244.4 -6092.19 707.664
37700 152.492 -6246.45 -6093.96 708.973
37750 148.949 -6242.91 -6093.96 692.498
37800 152.108 -6246.21 -6094.1 707.186
37850 152.088 -6246.8 -6094.71 707.092
37900 152.432 -6246.59 -6094.16 708.694
37950 153.728 -6248.16 -6094.44 714.717
38000 153.356 -6245.82 -6092.46 712.988
38050 152.897 -6247.38 -6094.48 710.854
38100 154.186 -6247.92 -6093.73 716.848
38150 150.903 -6246.38 -6095.48 701.582
38200 149.747 -6245.47 -6095.72 696.212
38250 150.26 -6245.25 -6094.99 698.594
38300 152.839 -6246.23 -6093.39 710.588
38350 153.257 -6244.48 -6091.22 712.53
38400 151.906 -6243.48 -6091.57 706.248
38450 150.175 -6242.76 -6092.58 698.201
38500 151.685 -6245.31 -6093.63 705.22
38550 153.131 -6244.48 -6091.34 711.942
38600 154.833 -6245.47 -6090.63 719.856
38650 152.879 -6246.08 -6093.2 710.769
38700 152.638 -6244.54 -6091.9 709.652
38750 155.507 -6245.38 -6089.88 722.989
38800 153.15 -6242.27 -6089.12 712.032
38850 155.117 -6244.85 -6089.73 721.178
38900 152.395 -6243.09 -6090.7 708.522
38950 153.668 -6243.18 -6089.51 714.441
39000 152.542 -6240.41 -6087.87 709.206
39050 153.084 -6242.29 -6089.2 711.722
39100 151.052 -6239.46 -6088.4 702.279
39150 151.769 -6240.92 -6089.15 705.609
39200 153.689 -6241.94 -6088.25 714.539
39250 155.581 -6244.08 -6088.5 723.332
39300 156.282 -6244.47 -6088.19 726.591
39350 153.433 -6242.8 -6089.37 713.347
39400 154.258 -6244.92 -6090.66 717.18
39450 154.94 -6245.15 -6090.21 720.355
39500 155.122 -6244.03 -6088.91 721.198
39550 156.19 -6245.38 -6089.19 726.166
39600 151.925 -6240.47 -6088.55 706.334
39650 151.277 -6239.63 -6088.35 703.323
39700 153.525 -6244.85 -6091.32 713.773
39750 154.916 -6239.79 -6084.87 720.243
39800 153.529 -6242.51 -6088.99 713.791
39850 151.614 -6241.17 -6089.56 704.888
39900 152.844 -6241.34 -6088.5 710.607
39950 156.087 -6245.59 -6089.51 725.686
40000 155.102 -6245.21 -6090.1 721.106
40050 154.878 -6246.79 -6091.91 720.067
40100 152.59 -6245.68 -6093.09 709.428
40150 154.818 -6245.65 -6090.83 719.788
40200 155.767 -6245.59 -6089.83 724.196
40250 154.37 -6244.38 -6090.01 717.702
40300 152.858 -6242.79 -6089.93 710.676
40350 150.503 -6241.27 -6090.76 699.725
40400 155.827 -6241.98 -6086.16 724.475
40450 152.873 -6240.02 -6087.15 710.744
40500 153.801 -6241.97 -6088.17 715.06
40550 154.14 -6242.2 -6088.06 716.632
40600 154.765 -6243.36 -6088.6 719.538
40650 155.838 -6242.36 -6086.52 724.528
40700 158.125 -6246 -6087.87 735.16
40750 154.278 -6242.46 -6088.18 717.274
40800 154.838 -6243.74 -6088.9 719.88
40850 156.167 -6242.42 -6086.25 726.06
40900 156.669 -6241.56 -6084.89 728.39
40950 157.046 -6242.05 -6085 730.143
41000 154.682 -6243.65 -6088.97 719.153
41050 150.96 -6236.93 -6085.97 701.852
41100 155.583 -6242.05 -6086.47 723.343
41150 154.681 -6239.27 -6084.59 719.151
41200 155.501 -6240.79 -6085.29 722.96
41250 154.525 -6240.29 -6085.77 718.423
41300 154.478 -6241.94 -6087.46 718.204
41350 157.184 -6244.83 -6087.65 730.786
41400 155.202 -6242.65 -6087.45 721.571
41450 156.295 -6246.74 -6090.45 726.655
41500 152.194 -6245.02 -6092.83 707.588
41550 154.59 -6247.06 -6092.47 718.725
41600 155.231 -6246.16 -6090.93 721.704
41650 153.704 -6245.15 -6091.45 714.607
41700 150.472 -6242.43 -6091.95 699.581
41750 151.079 -6242.57 -6091.49 702.404
41800 152.988 -6244.29 -6091.31 711.277
41850 153.447 -6243.52 -6090.07 713.41
41900 151.513 -6244.64 -6093.13 704.419
41950 151.719 -6246.95 -6095.23 705.377
42000 151.299 -6242.36 -6091.06 703.424
42050 153.43 -6247.34 -6093.91 713.335
42100 154.699 -6246.7 -6092 719.235
42150 152.192 -6245.72 -6093.53 707.579
42200 152.166 -6245.36 -6093.19 707.457
42250 153.274 -6248.36 -6095.08 712.607
42300 153.004 -6246.76 -6093.76 711.354
42350 152.615 -6244.43 -6091.82 709.546
42400 154.585 -6247.43 -6092.85 718.702
42450 150.807 -6239.78 -6088.97 701.136
42500 153.298 -6243.03 -6089.74 712.721
42550 154.367 -6243.88 -6089.51 717.69
42600 152.991 -6244.06 -6091.07 711.291
42650 150.905 -6243.2 -6092.29 701.596
42700 152.126 -6245.19 -6093.06 707.271
42750 154.729 -6249.06 -6094.34 719.371
42800 151.916 -6245.61 -6093.69 706.295
42850 151.738 -6248.53 -6096.8 705.464
42900 150.854 -6247.43 -6096.58 701.355
42950 151.538 -6246.95 -6095.41 704.538
43000 153.376 -6245.56 -6092.19 713.084
43050 152.399 -6244.89 -6092.49 708.54
43100 152.315 -6247.22 -6094.9 708.149
43150 149.053 -6242.05 -6093 692.983
43200 151.28 -6244.4 -6093.12 703.335
43250 152.489 -6243.85 -6091.36 708.956
43300 152.883 -6244.56 -6091.68 710.788
43350 153.454 -6245.02 -6091.57 713.446
43400 151.223 -6246.19 -6094.97 703.074
43450 152.323 -6245.8 -6093.48 708.185
43500 152.289 -6245.67 -6093.38 708.027
43550 151.923 -6249.03 -6097.11 706.325
43600 150.78 -6246.43 -6095.65 701.014
43650 153.645 -6247.16 -6093.51 714.333
43700 153.132 -6244.91 -6091.78 711.945
43750 152.668 -6242.92 -6090.26 709.788
43800 153.915 -6242.63 -6088.72 715.588
43850 154.041 -6242.56 -6088.52 716.176
43900 153.99 -6237.29 -6083.3 715.935
43950 153.893 -6241.08 -6087.18 715.486
44000 154.693 -6239.88 -6085.19 719.206
44050 154.027 -6240.59 -6086.56 716.11
44100 155.475 -6239.74 -6084.27 722.842
44150 156.829 -6242.4 -6085.57 729.138
44200 155.004 -6240.61 -6085.6 720.653
44250 156.606 -6243.6 -6086.99 728.1
44300 156.477 -6241.33 -6084.85 727.502
44350 159.04 -6242.53 -6083.49 739.414
44400 157.039 -6241.04 -6084 730.112
44450 155.646 -6239.12 -6083.48 723.636
44500 154.578 -6238.54 -6083.96 718.671
44550 155.204 -6240.04 -6084.83 721.583
44600 154.952 -6240.09 -6085.14 720.41
44650 154.587 -6239.09 -6084.5 718.71
44700 154.524 -6241.97 -6087.45 718.42
44750 157.356 -6241.67 -6084.31 731.588
44800 155.918 -6240.55 -6084.63 724.902
44850 157.469 -6242.73 -6085.26 732.113
44900 154.199 -6241.7 -6087.5 716.908
44950 153.797 -6241.37 -6087.58 715.037
45000 155.033 -6244.24 -6089.21 720.784
45050 156.259 -6243.97 -6087.71 726.484
45100 154.502 -6243.54 -6089.04 718.319
45150 152.824 -6244.81 -6091.99 710.515
45200 151.424 -6243.11 -6091.69 704.005
45250 153.945 -6245.37 -6091.42 715.728
45300 153.274 -6242.65 -6089.38 712.606
45350 151.771 -6244.93 -6093.15 705.622
45400 151.824 -6243.73 -6091.9 705.865
45450 153.368 -6244.66 -6091.29 713.043
45500 155.408 -6243.46 -6088.05 722.53
45550 156.852 -6244.59 -6087.74 729.241
45600 154.522 -6243.8 -6089.28 718.41
45650 154.314 -6243.97 -6089.66 717.442
45700 151.902 -6243.26 -6091.36 706.229
45750 154.697 -6242.79 -6088.09 719.222
45800 155.682 -6243.73 -6088.05 723.803
45850 154.917 -6242.1 -6087.19 720.247
45900 153.273 -6239.97 -6086.7 712.603
45950 156.275 -6242.09 -6085.82 726.559
46000 154.736 -6239.3 -6084.57 719.406
46050 157.206 -6241.28 -6084.07 730.887
46100 154.981 -6239.4 -6084.42 720.545
46150 157.065 -6242.59 -6085.53 730.233
46200 158.096 -6241.51 -6083.42 735.027
46250 157.732 -6239.06 -6081.33 733.332
46300 156.128 -6241.03 -6084.9 725.875
46350 156.287 -6240.78 -6084.49 726.616
46400 156.178 -6240.55 -6084.37 726.109
46450 160.378 -6240.57 -6080.2 745.635
46500 157.837 -6236.44 -6078.6 733.82
46550 154.989 -6236 -6081.01 720.583
46600 156.987 -6236.76 -6079.78 729.87
46650 158.771 -6236.71 -6077.94 738.166
46700 159.295 -6238.55 -6079.26 740.6
46750 157.324 -6237.4 -6080.07 731.438
46800 156.199 -6239.96 -6083.76 726.205
46850 155.802 -6240.01 -6084.2 724.362
46900 157.377 -6241.06 -6083.69 731.684
46950 157.384 -6240.87 -6083.49 731.714
47000 155.706 -6241.32 -6085.61 723.916
47050 154.952 -6239.24 -6084.29 720.409
47100 155.962 -6243.46 -6087.49 725.106
47150 155.666 -6241.67 -6086 723.727
47200 155.899 -6242.24 -6086.34 724.811
47250 154.163 -6240.46 -6086.3 716.74
47300 154.083 -6243.38 -6089.3 716.37
47350 152.549 -6238.67 -6086.12 709.238
47400 153.986 -6243.77 -6089.79 715.916
47450 153.852 -6243.93 -6090.08 715.296
47500 153.9 -6240.61 -6086.71 715.519
47550 154.586 -6244.42 -6089.83 718.707
47600 155.733 -6241.52 -6085.79 724.039
47650 155.988 -6243.9 -6087.92 725.224
47700 154.795 -6241.88 -6087.08 719.681
47750 152.705 -6241.94 -6089.23 709.962
47800 154.956 -6243.62 -6088.66 720.429
47850 154.026 -6241.18 -6087.15 716.104
47900 154.182 -6242.04 -6087.86 716.829
47950 154.188 -6240.28 -6086.09 716.858
48000 156.131 -6240.79 -6084.66 725.892
48050 155.602 -6238.67 -6083.07 723.431
48100 156.868 -6237.76 -6080.9 729.317
48150 156.889 -6241.7 -6084.81 729.415
48200 156.755 -6238.61 -6081.85 728.791
48250 158.909 -6243.28 -6084.37 738.805
48300 156.182 -6238.35 -6082.17 726.128
48350 155.284 -6239.21 -6083.93 721.954
48400 157.274 -6241.77 -6084.5 731.203
48450 154.853 -6240.23 -6085.38 719.949
48500 157.548 -6243.45 -6085.9 732.479
48550 153.921 -6241.46 -6087.54 715.614
48600 154.56 -6241.8 -6087.24 718.586
48650 153.563 -6242.79 -6089.22 713.952
48700 154.231 -6240.68 -6086.45 717.058
48750 154.325 -6243.46 -6089.14 717.493
48800 153.971 -6240.07 -6086.1 715.847
48850 156.278 -6244.7 -6088.42 726.574
48900 154.562 -6243.88 -6089.32 718.596
48950 153.116 -6241.14 -6088.02 711.874
49000 154.3 -6242.97 -6088.67 717.376
49050 152.965 -6240.98 -6088.01 711.173
49100 154.224 -6242.5 -6088.27 717.026
49150 153.935 -6242.19 -6088.26 715.68
49200 154.407 -6242.05 -6087.65 717.877
49250 153.867 -6242.34 -6088.48 715.365
49300 152.785 -6242.04 -6089.26 710.332
49350 153.568 -6243.12 -6089.55 713.973
49400 153.364 -6244.63 -6091.27 713.025
49450 152.964 -6243.08 -6090.12 711.168
49500 153.173 -6242.83 -6089.66 712.138
49550 153.008 -6244.45 -6091.44 711.372
49600 154.445 -6244.63 -6090.18 718.051
49650 151.305 -6244.62 -6093.32 703.453
49700 151.883 -6243.88 -6092 706.141
49750 152.808 -6246.37 -6093.56 710.439
49800 152.319 -6247.14 -6094.83 708.166
49850 151.033 -6244.31 -6093.28 702.187
49900 150.631 -6243.77 -6093.14 700.321
49950 153.164 -6244.98 -6091.82 712.098
50000 153.621 -6243.58 -6089.96 714.223
