# Time-averaged data for fix energy
# TimeStep v_k v_e v_t v_T
7000 155.378 -6250.97 -6095.59 722.39
7050 156.945 -6250.86 -6093.91 729.675
7100 153.752 -6247.09 -6093.34 714.831
7150 153.516 -6244.3 -6090.79 713.732
7200 152.432 -6240.14 -6087.71 708.694
7250 153.22 -6238.22 -6085 712.359
7300 152.428 -6235.88 -6083.46 708.676
7350 152.097 -6238.11 -6086.02 707.135
7400 153.096 -6239.06 -6085.97 711.781
7450 154.502 -6240.76 -6086.26 718.319
7500 159.454 -6247.97 -6088.52 741.339
7550 155.545 -6245.47 -6089.93 723.167
7600 155.956 -6247.57 -6091.62 725.077
7650 156.136 -6247.42 -6091.28 725.916
7700 157.686 -6251.45 -6093.76 733.118
7750 157.628 -6247.91 -6090.28 732.85
7800 155.893 -6242.75 -6086.86 724.784
7850 152.089 -6242.8 -6090.71 707.099
7900 152.31 -6237.34 -6085.03 708.128
7950 154.44 -6239.23 -6084.79 718.03
8000 151.275 -6234.95 -6083.67 703.316
8050 153.36 -6237.96 -6084.6 713.005
8100 154.678 -6239.67 -6085 719.135
8150 155.935 -6241.53 -6085.6 724.981
8200 157.4 -6244.58 -6087.18 731.791
8250 155.412 -6247.5 -6092.09 722.546
8300 157.676 -6249.1 -6091.43 733.073
8350 155.927 -6245.98 -6090.05 724.94
8400 158.268 -6247.54 -6089.28 735.825
8450 157.329 -6245.36 -6088.04 731.462
8500 155.518 -6243.4 -6087.88 723.041
8550 154.498 -6239.65 -6085.15 718.3
8600 156.296 -6235.96 -6079.67 726.66
8650 153.107 -6234.38 -6081.27 711.832
8700 152.851 -6232.21 -6079.36 710.641
8750 153.279 -6236.41 -6083.13 712.632
8800 152.288 -6234.22 -6081.93 708.026
8850 157.642 -6241.31 -6083.66 732.917
8900 157.793 -6242.42 -6084.63 733.62
8950 157.978 -6244.31 -6086.34 734.48
9000 158.059 -6247.1 -6089.05 734.856
9050 157.304 -6243.81 -6086.51 731.346
9100 159.26 -6247.7 -6088.44 740.436
9150 158.216 -6241.69 -6083.48 735.585
9200 157.064 -6241.4 -6084.34 730.23
9250 156.802 -6238.94 -6082.13 729.009
9300 155.311 -6234.88 -6079.57 722.08
9350 154.122 -6234.86 -6080.73 716.551
9400 154.776 -6232.22 -6077.44 719.591
9450 154.405 -6233.14 -6078.73 717.865
9500 155.993 -6236.69 -6080.7 725.249
9550 157.274 -6240.49 -6083.21 731.205
9600 156.548 -6242.04 -6085.5 727.827
9650 157.331 -6245.51 -6088.18 731.468
9700 158.594 -6244.61 -6086.02 737.341
9750 159.434 -6249.14 -6089.7 741.246
9800 157.516 -6249.31 -6091.79 732.328
9850 156.616 -6244.94 -6088.33 728.146
9900 156.054 -6244.13 -6088.07 725.532
9950 156.64 -6242.79 -6086.15 728.256
10000 155.587 -6240.57 -6084.98 723.363
10050 151.892 -6236.05 -6084.16 706.18
10100 152.069 -6234.08 -6082.01 707.007
10150 152.743 -6240.09 -6087.35 710.137
10200 151.715 -6237.09 -6085.38 705.359
