-1.265115479499999935e+02 1.564331650952410371e+02
-1.265321239299999974e+02 1.588521921480187586e+02
-1.265445453899999961e+02 1.612960295021159993e+02
-1.265544164599999988e+02 1.637648037422769960e+02
-1.265606228700000031e+02 1.662586415247565412e+02
-1.265643105799999972e+02 1.687776693125317706e+02
-1.265611115600000005e+02 1.713220137911937684e+02
-1.265559495400000003e+02 1.738918014452061698e+02
-1.265488536000000011e+02 1.764871590050561281e+02
-1.265359031299999941e+02 1.791082128710042127e+02
-1.265217675600000007e+02 1.817550897548470061e+02
