# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
40000 38.1837
40100 38.0323
40200 38.2946
40300 38.0198
40400 37.9624
40500 37.5197
40600 37.6758
40700 38.0558
40800 38.1578
40900 37.8398
41000 37.5088
41100 37.8573
41200 38.2
41300 37.9193
41400 38.1614
41500 38.2916
41600 38.0143
41700 37.8102
41800 38.0523
41900 38.2326
42000 37.7685
42100 37.9694
42200 37.8773
42300 38.0485
42400 38.2655
42500 38.3438
42600 37.7374
42700 37.7908
42800 37.9206
42900 38.3771
43000 38.2288
43100 38.348
43200 38.6292
43300 38.2941
43400 38.2396
43500 38.5911
43600 37.957
43700 38.3991
43800 38.6557
43900 38.8824
44000 39.1178
44100 38.7315
44200 38.8484
44300 38.9851
44400 38.8198
44500 38.9275
44600 39.3566
44700 39.2752
44800 39.4314
44900 39.2702
45000 39.3397
45100 39.1608
45200 39.3668
45300 39.2316
45400 39.2622
45500 39.7942
45600 39.3433
45700 39.3773
45800 39.3696
45900 39.7735
46000 39.7308
46100 39.3389
46200 39.5399
46300 39.7197
46400 39.951
46500 39.5529
46600 39.4808
46700 39.2473
46800 39.3362
46900 39.5621
47000 39.3232
47100 39.3526
47200 39.6969
47300 39.9049
47400 39.8293
47500 40.2758
47600 39.9558
47700 40.2741
47800 40.6835
47900 40.5653
48000 40.5911
48100 39.9669
48200 40.3898
48300 40.2989
48400 40.837
48500 40.7675
48600 41.1572
48700 40.6227
48800 40.977
48900 40.9981
49000 40.973
49100 41.303
49200 41.117
49300 40.7777
49400 40.7629
49500 41.2634
49600 41.5694
49700 40.9966
49800 41.2606
49900 41.5468
50000 41.4195
